mode,effect_sd,lag_min,seed,M0_naive_uncorrected,M1_bonferroni_only,M2_bonferroni_support,M3_ASDE_full
injected,0.5,60.0,49,True,True,True,True
injected,1.0,15.0,0,True,True,True,True
injected,1.0,15.0,1,True,True,True,True
injected,1.0,15.0,2,True,True,True,True
injected,1.0,15.0,3,True,True,True,True
injected,1.0,15.0,4,True,True,True,True
injected,1.0,15.0,5,True,True,True,True
injected,1.0,15.0,6,True,True,True,True
injected,1.0,15.0,7,True,True,True,True
injected,1.0,15.0,8,True,True,True,True
injected,1.0,15.0,9,True,True,True,True
injected,1.0,15.0,10,True,True,True,True
injected,1.0,15.0,11,True,True,True,True
injected,1.0,15.0,12,True,True,True,True
injected,1.0,15.0,13,True,True,True,True
injected,1.0,15.0,14,True,True,True,True
injected,1.0,15.0,15,True,True,True,True
injected,1.0,15.0,16,True,True,True,True
injected,1.0,15.0,17,True,True,True,True
injected,1.0,15.0,18,True,True,True,True
injected,1.0,15.0,19,True,True,True,True
injected,1.0,15.0,20,True,True,True,True
injected,1.0,15.0,21,True,True,True,True
injected,1.0,15.0,22,True,True,True,True
injected,1.0,15.0,23,True,True,True,True
injected,1.0,15.0,24,True,True,True,True
injected,1.0,15.0,25,True,True,True,True
injected,1.0,15.0,26,True,True,True,True
injected,1.0,15.0,27,True,True,True,True
injected,1.0,15.0,28,True,True,True,True
injected,1.0,15.0,29,True,True,True,True
injected,1.0,15.0,30,True,True,True,True
injected,1.0,15.0,31,True,True,True,True
injected,1.0,15.0,32,True,True,True,True
injected,1.0,15.0,33,True,True,True,True
injected,1.0,15.0,34,True,True,True,True
injected,1.0,15.0,35,True,True,True,True
injected,1.0,15.0,36,True,True,True,True
injected,1.0,15.0,37,True,True,True,True
injected,1.0,15.0,38,True,True,True,True
injected,1.0,15.0,39,True,True,True,True
injected,1.0,15.0,40,True,True,True,True
injected,1.0,15.0,41,True,True,True,True
injected,1.0,15.0,42,True,True,True,True
injected,1.0,15.0,43,True,True,True,True
injected,1.0,15.0,44,True,True,True,True
injected,1.0,15.0,45,True,True,True,True
injected,1.0,15.0,46,True,True,True,True
injected,1.0,15.0,47,True,True,True,True
injected,1.0,15.0,48,True,True,True,True
injected,1.0,15.0,49,True,True,True,True
injected,1.0,30.0,0,True,True,True,True
injected,1.0,30.0,1,True,True,True,True
injected,1.0,30.0,2,True,True,True,True
injected,1.0,30.0,3,True,True,True,True
injected,1.0,30.0,4,True,True,True,True
injected,1.0,30.0,5,True,True,True,True
injected,1.0,30.0,6,True,True,True,True
injected,1.0,30.0,7,True,True,True,True
injected,1.0,30.0,8,True,True,True,True
injected,1.0,30.0,9,True,True,True,True
injected,1.0,30.0,10,True,True,True,True
injected,1.0,30.0,11,True,True,True,True
injected,1.0,30.0,12,True,True,True,True
injected,1.0,30.0,13,True,True,True,True
injected,1.0,30.0,14,True,True,True,True
injected,1.0,30.0,15,True,True,True,True
injected,1.0,30.0,16,True,True,True,True
injected,1.0,30.0,17,True,True,True,True
injected,1.0,30.0,18,True,True,True,True
injected,1.0,30.0,19,True,True,True,True
injected,1.0,30.0,20,True,True,True,True
injected,1.0,30.0,21,True,True,True,True
injected,1.0,30.0,22,True,True,True,True
injected,1.0,30.0,23,True,True,True,True
injected,1.0,30.0,24,True,True,True,True
injected,1.0,30.0,25,True,True,True,True
injected,1.0,30.0,26,True,True,True,True
injected,1.0,30.0,27,True,True,True,True
injected,1.0,30.0,28,True,True,True,True
injected,1.0,30.0,29,True,True,True,True
injected,1.0,30.0,30,True,True,True,True
injected,1.0,30.0,31,True,True,True,True
injected,1.0,30.0,32,True,True,True,True
injected,1.0,30.0,33,True,True,True,True
injected,1.0,30.0,34,True,True,True,True
injected,1.0,30.0,35,True,True,True,True
injected,1.0,30.0,36,True,True,True,True
injected,1.0,30.0,37,True,True,True,True
injected,1.0,30.0,38,True,True,True,True
injected,1.0,30.0,39,True,True,True,True
injected,1.0,30.0,40,True,True,True,True
injected,1.0,30.0,41,True,True,True,True
injected,1.0,30.0,42,True,True,True,True
injected,1.0,30.0,43,True,True,True,True
injected,1.0,30.0,44,True,True,True,True
injected,1.0,30.0,45,True,True,True,True
injected,1.0,30.0,46,True,True,True,True
injected,1.0,30.0,47,True,True,True,True
injected,1.0,30.0,48,True,True,True,True
injected,1.0,30.0,49,True,True,True,True
injected,1.0,60.0,0,True,True,True,True
injected,1.0,60.0,1,True,True,True,True
injected,1.0,60.0,2,True,True,True,True
injected,1.0,60.0,3,True,True,True,True
injected,1.0,60.0,4,True,True,True,True
injected,1.0,60.0,5,True,True,True,True
injected,1.0,60.0,6,True,True,True,True
injected,1.0,60.0,7,True,True,True,True
injected,1.0,60.0,8,True,True,True,True
injected,1.0,60.0,9,True,True,True,True
injected,1.0,60.0,10,True,False,False,False
injected,1.0,60.0,11,True,True,True,True
injected,1.0,60.0,12,True,True,True,True
injected,1.0,60.0,13,True,True,True,True
injected,1.0,60.0,14,True,True,True,True
injected,1.0,60.0,15,True,True,True,True
injected,1.0,60.0,16,True,True,True,True
injected,1.0,60.0,17,True,True,True,True
injected,1.0,60.0,18,True,True,True,True
injected,1.0,60.0,19,True,True,True,True
injected,1.0,60.0,20,True,True,True,True
injected,1.0,60.0,21,True,True,True,True
injected,1.0,60.0,22,True,True,True,True
injected,1.0,60.0,23,True,False,False,False
injected,1.0,60.0,24,True,True,True,True
injected,1.0,60.0,25,True,False,False,False
injected,1.0,60.0,26,True,True,True,True
injected,1.0,60.0,27,True,True,True,True
injected,1.0,60.0,28,True,True,True,True
injected,1.0,60.0,29,True,True,True,True
injected,1.0,60.0,30,True,True,True,True
injected,1.0,60.0,31,True,True,True,True
injected,1.0,60.0,32,True,True,True,True
injected,1.0,60.0,33,True,True,True,True
injected,1.0,60.0,34,True,True,True,True
injected,1.0,60.0,35,True,True,True,True
injected,1.0,60.0,36,True,True,True,True
injected,1.0,60.0,37,True,False,False,False
injected,1.0,60.0,38,True,True,True,True
injected,1.0,60.0,39,True,True,True,True
injected,1.0,60.0,40,True,True,True,True
injected,1.0,60.0,41,True,True,True,True
injected,1.0,60.0,42,True,True,True,True
injected,1.0,60.0,43,True,True,True,True
injected,1.0,60.0,44,True,True,True,True
injected,1.0,60.0,45,True,True,True,True
injected,1.0,60.0,46,True,True,True,True
injected,1.0,60.0,47,True,True,True,True
injected,1.0,60.0,48,True,True,True,True
injected,1.0,60.0,49,True,True,True,True
injected,1.5,15.0,0,True,True,True,True
injected,1.5,15.0,1,True,True,True,True
injected,1.5,15.0,2,True,True,True,True
injected,1.5,15.0,3,True,True,True,True
injected,1.5,15.0,4,True,True,True,True
injected,1.5,15.0,5,True,True,True,True
injected,1.5,15.0,6,True,True,True,True
injected,1.5,15.0,7,True,True,True,True
injected,1.5,15.0,8,True,True,True,True
injected,1.5,15.0,9,True,True,True,True
injected,1.5,15.0,10,True,True,True,True
injected,1.5,15.0,11,True,True,True,True
injected,1.5,15.0,12,True,True,True,True
injected,1.5,15.0,13,True,True,True,True
injected,1.5,15.0,14,True,True,True,True
injected,1.5,15.0,15,True,True,True,True
injected,1.5,15.0,16,True,True,True,True
injected,1.5,15.0,17,True,True,True,True
injected,1.5,15.0,18,True,True,True,True
injected,1.5,15.0,19,True,True,True,True
injected,1.5,15.0,20,True,True,True,True
injected,1.5,15.0,21,True,True,True,True
injected,1.5,15.0,22,True,True,True,True
injected,1.5,15.0,23,True,True,True,True
injected,1.5,15.0,24,True,True,True,True
injected,1.5,15.0,25,True,True,True,True
injected,1.5,15.0,26,True,True,True,True
injected,1.5,15.0,27,True,True,True,True
injected,1.5,15.0,28,True,True,True,True
injected,1.5,15.0,29,True,True,True,True
injected,1.5,15.0,30,True,True,True,True
injected,1.5,15.0,31,True,True,True,True
injected,1.5,15.0,32,True,True,True,True
injected,1.5,15.0,33,True,True,True,True
injected,1.5,15.0,34,True,True,True,True
injected,1.5,15.0,35,True,True,True,True
injected,1.5,15.0,36,True,True,True,True
injected,1.5,15.0,37,True,True,True,True
injected,1.5,15.0,38,True,True,True,True
injected,1.5,15.0,39,True,True,True,True
injected,1.5,15.0,40,True,True,True,True
injected,1.5,15.0,41,True,True,True,True
injected,1.5,15.0,42,True,True,True,True
injected,1.5,15.0,43,True,True,True,True
injected,1.5,15.0,44,True,True,True,True
injected,1.5,15.0,45,True,True,True,True
injected,1.5,15.0,46,True,True,True,True
injected,1.5,15.0,47,True,True,True,True
injected,1.5,15.0,48,True,True,True,True
injected,1.5,15.0,49,True,True,True,True
injected,1.5,30.0,0,True,True,True,True
injected,1.5,30.0,1,True,True,True,True
injected,1.5,30.0,2,True,True,True,True
injected,1.5,30.0,3,True,True,True,True
injected,1.5,30.0,4,True,True,True,True
injected,1.5,30.0,5,True,True,True,True
injected,1.5,30.0,6,True,True,True,True
injected,1.5,30.0,7,True,True,True,True
injected,1.5,30.0,8,True,True,True,True
injected,1.5,30.0,9,True,True,True,True
injected,1.5,30.0,10,True,True,True,True
injected,1.5,30.0,11,True,True,True,True
injected,1.5,30.0,12,True,True,True,True
injected,1.5,30.0,13,True,True,True,True
injected,1.5,30.0,14,True,True,True,True
injected,1.5,30.0,15,True,True,True,True
injected,1.5,30.0,16,True,True,True,True
injected,1.5,30.0,17,True,True,True,True
injected,1.5,30.0,18,True,True,True,True
injected,1.5,30.0,19,True,True,True,True
injected,1.5,30.0,20,True,True,True,True
injected,1.5,30.0,21,True,True,True,True
injected,1.5,30.0,22,True,True,True,True
injected,1.5,30.0,23,True,True,True,True
injected,1.5,30.0,24,True,True,True,True
injected,1.5,30.0,25,True,True,True,True
injected,1.5,30.0,26,True,True,True,True
injected,1.5,30.0,27,True,True,True,True
injected,1.5,30.0,28,True,True,True,True
injected,1.5,30.0,29,True,True,True,True
injected,1.5,30.0,30,True,True,True,True
injected,1.5,30.0,31,True,True,True,True
injected,1.5,30.0,32,True,True,True,True
injected,1.5,30.0,33,True,True,True,True
injected,1.5,30.0,34,True,True,True,True
injected,1.5,30.0,35,True,True,True,True
injected,1.5,30.0,36,True,True,True,True
injected,1.5,30.0,37,True,True,True,True
injected,1.5,30.0,38,True,True,True,True
injected,1.5,30.0,39,True,True,True,True
injected,1.5,30.0,40,True,True,True,True
injected,1.5,30.0,41,True,True,True,True
injected,1.5,30.0,42,True,True,True,True
injected,1.5,30.0,43,True,True,True,True
injected,1.5,30.0,44,True,True,True,True
injected,1.5,30.0,45,True,True,True,True
injected,1.5,30.0,46,True,True,True,True
injected,1.5,30.0,47,True,True,True,True
injected,1.5,30.0,48,True,True,True,True
injected,1.5,30.0,49,True,True,True,True
injected,1.5,60.0,0,True,True,True,True
injected,1.5,60.0,1,True,True,True,True
injected,1.5,60.0,2,True,True,True,True
injected,1.5,60.0,3,True,True,True,True
injected,1.5,60.0,4,True,True,True,True
injected,1.5,60.0,5,True,True,True,True
injected,1.5,60.0,6,True,True,True,True
injected,1.5,60.0,7,True,True,True,True
injected,1.5,60.0,8,True,True,True,True
injected,1.5,60.0,9,True,True,True,True
injected,1.5,60.0,10,True,False,False,False
injected,1.5,60.0,11,True,True,True,True
injected,1.5,60.0,12,True,True,True,True
injected,1.5,60.0,13,True,True,True,True
injected,1.5,60.0,14,True,True,True,True
injected,1.5,60.0,15,True,True,True,True
injected,1.5,60.0,16,True,True,True,True
injected,1.5,60.0,17,True,True,True,True
injected,1.5,60.0,18,True,True,True,True
injected,1.5,60.0,19,True,True,True,True
injected,1.5,60.0,20,True,True,True,True
injected,1.5,60.0,21,True,True,True,True
injected,1.5,60.0,22,True,True,True,True
injected,1.5,60.0,23,True,True,True,True
injected,1.5,60.0,24,True,True,True,True
injected,1.5,60.0,25,True,True,True,True
injected,1.5,60.0,26,True,True,True,True
injected,1.5,60.0,27,True,True,True,True
injected,1.5,60.0,28,True,True,True,True
injected,1.5,60.0,29,True,True,True,True
injected,1.5,60.0,30,True,True,True,True
injected,1.5,60.0,31,True,True,True,True
injected,1.5,60.0,32,True,True,True,True
injected,1.5,60.0,33,True,True,True,True
injected,1.5,60.0,34,True,True,True,True
injected,1.5,60.0,35,True,True,True,True
injected,1.5,60.0,36,True,True,True,True
injected,1.5,60.0,37,True,True,True,True
injected,1.5,60.0,38,True,True,True,True
injected,1.5,60.0,39,True,True,True,True
injected,1.5,60.0,40,True,True,True,True
injected,1.5,60.0,41,True,True,True,True
injected,1.5,60.0,42,True,True,True,True
injected,1.5,60.0,43,True,True,True,True
injected,1.5,60.0,44,True,True,True,True
injected,1.5,60.0,45,True,True,True,True
injected,1.5,60.0,46,True,True,True,True
injected,1.5,60.0,47,True,True,True,True
injected,1.5,60.0,48,True,True,True,True
injected,1.5,60.0,49,True,True,True,True
injected,2.0,15.0,0,True,True,True,True
injected,2.0,15.0,1,True,True,True,True
injected,2.0,15.0,2,True,True,True,True
injected,2.0,15.0,3,True,True,True,True
injected,2.0,15.0,4,True,True,True,True
injected,2.0,15.0,5,True,True,True,True
injected,2.0,15.0,6,True,True,True,True
injected,2.0,15.0,7,True,True,True,True
injected,2.0,15.0,8,True,True,True,True
injected,2.0,15.0,9,True,True,True,True
injected,2.0,15.0,10,True,True,True,True
injected,2.0,15.0,11,True,True,True,True
injected,2.0,15.0,12,True,True,True,True
injected,2.0,15.0,13,True,True,True,True
injected,2.0,15.0,14,True,True,True,True
injected,2.0,15.0,15,True,True,True,True
injected,2.0,15.0,16,True,True,True,True
injected,2.0,15.0,17,True,True,True,True
injected,2.0,15.0,18,True,True,True,True
injected,2.0,15.0,19,True,True,True,True
injected,2.0,15.0,20,True,True,True,True
injected,2.0,15.0,21,True,True,True,True
injected,2.0,15.0,22,True,True,True,True
injected,2.0,15.0,23,True,True,True,True
injected,2.0,15.0,24,True,True,True,True
injected,2.0,15.0,25,True,True,True,True
injected,2.0,15.0,26,True,True,True,True
injected,2.0,15.0,27,True,True,True,True
injected,2.0,15.0,28,True,True,True,True
injected,2.0,15.0,29,True,True,True,True
injected,2.0,15.0,30,True,True,True,True
injected,2.0,15.0,31,True,True,True,True
injected,2.0,15.0,32,True,True,True,True
injected,2.0,15.0,33,True,True,True,True
injected,2.0,15.0,34,True,True,True,True
injected,2.0,15.0,35,True,True,True,True
injected,2.0,15.0,36,True,True,True,True
injected,2.0,15.0,37,True,True,True,True
injected,2.0,15.0,38,True,True,True,True
injected,2.0,15.0,39,True,True,True,True
injected,2.0,15.0,40,True,True,True,True
injected,2.0,15.0,41,True,True,True,True
injected,2.0,15.0,42,True,True,True,True
injected,2.0,15.0,43,True,True,True,True
injected,2.0,15.0,44,True,True,True,True
injected,2.0,15.0,45,True,True,True,True
injected,2.0,15.0,46,True,True,True,True
injected,2.0,15.0,47,True,True,True,True
injected,2.0,15.0,48,True,True,True,True
injected,2.0,15.0,49,True,True,True,True
injected,2.0,30.0,0,True,True,True,True
injected,2.0,30.0,1,True,True,True,True
injected,2.0,30.0,2,True,True,True,True
injected,2.0,30.0,3,True,True,True,True
injected,2.0,30.0,4,True,True,True,True
injected,2.0,30.0,5,True,True,True,True
injected,2.0,30.0,6,True,True,True,True
injected,2.0,30.0,7,True,True,True,True
injected,2.0,30.0,8,True,True,True,True
injected,2.0,30.0,9,True,True,True,True
injected,2.0,30.0,10,True,True,True,True
injected,2.0,30.0,11,True,True,True,True
injected,2.0,30.0,12,True,True,True,True
injected,2.0,30.0,13,True,True,True,True
injected,2.0,30.0,14,True,True,True,True
injected,2.0,30.0,15,True,True,True,True
injected,2.0,30.0,16,True,True,True,True
injected,2.0,30.0,17,True,True,True,True
injected,2.0,30.0,18,True,True,True,True
injected,2.0,30.0,19,True,True,True,True
injected,2.0,30.0,20,True,True,True,True
injected,2.0,30.0,21,True,True,True,True
injected,2.0,30.0,22,True,True,True,True
injected,2.0,30.0,23,True,True,True,True
injected,2.0,30.0,24,True,True,True,True
injected,2.0,30.0,25,True,True,True,True
injected,2.0,30.0,26,True,True,True,True
injected,2.0,30.0,27,True,True,True,True
injected,2.0,30.0,28,True,True,True,True
